,Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit
,2,Insurers,Allianz General Insurance Company (Malaysia) Berhad,"SHARES PARENT — No dedicated CISO for Allianz General; cybersecurity managed at Allianz Malaysia Berhad (AMB) group level [Source: allianz.com.my IAR 2024, conf 85]","SHARES PARENT — No dedicated Head of GRC for Allianz General; GRC functions managed at AMB group level [Source: allianz.com.my IAR 2024, conf 85]","Chin Xiao Wei (CFO Allianz General) [Official: Allianz Malaysia IAR 2024 p.110 via Wayback Machine, conf 95. Also confirmed by Allianz Malaysia press release Oct 2025: allianz.com.my/personal/media-hub/2025/new-penang-branch.html]","Lim Tuang Ooi (Board Risk Management Committee Chairman, Independent Non-Executive Director; former CRO at EPF 2007-2019) [Official: allianz.com.my/boards-of-directors (Jul 2026 scrape); confidence: HIGH; board-level; executive CRO not separately named. Other Allianz General RMC members: Wee Lay Hua (Ind. Director, appointed 1 Dec 2022) and Chiang Bin Fong (Marcus) (Ind. Director, appointed 1 Jul 2026)]","SHARES PARENT — No dedicated Head of Compliance for Allianz General; compliance managed at AMB group level [Source: allianz.com.my IAR 2024, conf 85]","David Brandl (Chief Information Technology Officer, Group) [Official: Allianz Malaysia IAR 2024 p.111 via Wayback Machine, conf 90 — upgraded from 70. Group CIO covering AMB, Allianz General, Allianz Life]","Narayana Samy Naidu Renugopal (Group Head of Internal Audit Department) [Official: Allianz Malaysia CG Report 2024 via Wayback Machine, conf 88. Group-level IA covering all AMB subsidiaries. Named in CG Report key management personnel.]"
,2,Insurers,Allianz Life Insurance Malaysia Berhad,"SHARES PARENT — No dedicated CISO for Allianz Life; cybersecurity managed at AMB group level [Source: allianz.com.my IAR 2024, conf 85]","SHARES PARENT — No dedicated Head of GRC for Allianz Life; GRC functions managed at AMB group level [Source: allianz.com.my IAR 2024, conf 85]","Giulio Slavich (CFO of AMB & Allianz Life until 31 Dec 2025; promoted to CEO of Allianz Life effective 1 Jan 2026, succeeding Charles Ong who retired; new CFO TBD) [Official: allianz.com.my press release Dec 2025]","SHARES PARENT — No dedicated CRO for Allianz Life; risk oversight via Board Risk Management Committee (Chairman: Lim Tuang Ooi) at AMB group level [Source: allianz.com.my IAR 2024, conf 85]","SHARES PARENT — No dedicated Head of Compliance for Allianz Life; compliance managed at AMB group level [Source: allianz.com.my IAR 2024, conf 85]","David Brandl (Chief Information Technology Officer, Group) [Official: Allianz Malaysia IAR 2024 p.111 via Wayback Machine, conf 90 — upgraded from 70. Group CIO covering Allianz Life]","Narayana Samy Naidu Renugopal (Group Head of Internal Audit Department) [Official: Allianz Malaysia CG Report 2024 via Wayback Machine, conf 88. Group-level IA covering Allianz Life.]"
,2,Insurers,AmMetLife Insurance Berhad,"Not publicly disclosed on AmMetLife management team page [Official: ammetlife.com/about-us/about-ammetlife/management-team — as of Jul 2026, conf 40]","Not publicly disclosed on AmMetLife management team page [Official: ammetlife.com/about-us/about-ammetlife/management-team — as of Jul 2026, conf 40]",Michelle Cheang (Chief Financial Officer) [Official: ammetlife.com],Low Siew Mooi (Chief Risk Officer) [Official: ammetlife.com],"Not publicly disclosed on AmMetLife management team page [Official: ammetlife.com/about-us/about-ammetlife/management-team — as of Jul 2026, conf 40]",Loh Tian Hu (Chief Information Officer) [Official: ammetlife.com],"Not publicly disclosed on AmMetLife management team page [Official: ammetlife.com/about-us/about-ammetlife/management-team — as of Jul 2026, conf 40]"
,2,Insurers,Berjaya Sompo Insurance Berhad,"Mohamad Azman bin Soaed (Senior Manager - Information Security) [Malaysian Insurance Directory 2025/2026, conf 70]","Tricia Mallika Appaduray (Chief Compliance and Legal Officer - GRC-equivalent) [Official: berjayasompo.com.my/leadership-team, conf 75 - GRC-equivalent, same person as Head of Compliance]","Rina Aprila Afianty (Chief Financial Officer) [Official: berjayasompo.com.my/leadership-team, conf 95]","Samson Liew Zyun Fung (Head of Risk Management) [Malaysian Insurance Directory 2025/2026, conf 90]","Tricia Mallika Appaduray (Chief Compliance and Legal Officer) [Official: berjayasompo.com.my/leadership-team, conf 95]",Not publicly disclosed on official leadership page,"Kesavan Raj A/L Krishnan (Head of Internal Audit) [Malaysian Insurance Directory 2025/2026, conf 90]"
,2,Insurers,Chubb Insurance Malaysia Berhad,"Balaguru Devan Santana Dewan (Chief Information Security Officer) [LinkedIn: my.linkedin.com/in/balaguru-devan-santana-dewan-630979a, conf 90. LinkedIn profile explicitly states CISO at Chubb Malaysia since Oct 2024, based in Selangor, Malaysia. Defines and executes cybersecurity strategy for Chubb Malaysia.]",Dato' Mohzani Bin Abdul Wahab (Director) [Official: chubb.com/my-en conf 85],Olivier Bouchard (Executive Director CFO Asia Pacific) [Official: chubb.com/my-en],"Ng Khai Yan (Chief Risk Officer) [Malaysian Insurance Directory 2025/2026, conf 90]","Not publicly disclosed. Chubb Malaysia website (chubb.com/my-en/) does not have a leadership page - all /about-us/ URLs return 404. Public information disclosure page does not list compliance officers. [Official: chubb.com/my-en/ - leadership page not available, conf 90]",Kenny W. K. Tan (Chief Operating Officer) [LinkedIn: my.linkedin.com/in/kennytwk],"Chong Keh Bin (Head of Internal Audit) [Malaysian Insurance Directory 2025/2026, conf 90]"
,2,Insurers,Etiqa General Insurance Berhad,Devinder Singh Sardool Singh (CISO) [Official: etiqa.com],Nurliana Mat Lazim (CRO/Compliance - GRC) [Official: etiqa.com],Lee Hin Sze (CFO) [Official: etiqa.com],Nurliana Mat Lazim (Chief Risk & Compliance Officer) [Official: etiqa.com],Roslina Mohd Ramza (CCO) [Official: etiqa.com],Dennis Liu (CTO) [Official: etiqa.com],"Azian Ismail (Chief Audit Executive, Maybank Group) [Group-level: Maybank]"
,2,Insurers,Etiqa Life Insurance Berhad,Devinder Singh Sardool Singh (CISO) [Official: etiqa.com],Nurliana Mat Lazim (CRO/Compliance - GRC) [Official: etiqa.com],Lee Hin Sze (CFO) [Official: etiqa.com],Nurliana Mat Lazim (Chief Risk & Compliance Officer) [Official: etiqa.com],Roslina Mohd Ramza (CCO) [Official: etiqa.com],Dennis Liu (CTO) [Official: etiqa.com],"Azian Ismail (Chief Audit Executive, Maybank Group) [Group-level: Maybank]"
,2,Insurers,FWD Insurance Berhad,"Not publicly disclosed on FWD Malaysia team page (JS-rendered page, content not extractable) [Official: fwd.com.my/about-us/ins/meet-our-team, conf 85]","Anita Menon (Chief Governance Officer) [Official: fwd.com.my/about-us/fmh/meet-our-team, conf 100]","Yeoh Eng Hun (Chief Financial Officer) [Official: fwd.com.my/about-us/ins/meet-our-team + fwd.com.my/about-us/fmh/meet-our-team, conf 100]","Anita Menon (Chief Governance Officer / Acting Head of Risk) [Official: fwd.com.my/about-us/ins/meet-our-team + fwd.com.my/about-us/fmh/meet-our-team, conf 100]","Anita Menon (Chief Governance Officer, oversees compliance) [Official: fwd.com.my/about-us/fmh/meet-our-team, conf 80]. FWD Takaful: Lim Weng Leong (Head of Compliance) [Official: fwd.com.my/about-us/tkfl/meet-our-team, conf 100]","Not publicly disclosed on FWD Malaysia team page (JS-rendered page, content not extractable) [Official: fwd.com.my/about-us/ins/meet-our-team, conf 85]","Cheryl Lim (Head of Internal Audit) [Official: fwd.com.my/about-us/fmh/meet-our-team, conf 100]"
,2,Insurers,Generali Insurance Malaysia Berhad,"No dedicated CISO listed on Generali Malaysia leadership page; cybersecurity likely managed at Generali Group regional level [Official: generali.com.my/about-generali/leadership, conf 85]",Haneeza Abdul Kadir (General Counsel) [Official: generali.com.my/about-generali/leadership - General Counsel oversees legal & governance functions for Generali Malaysia (GMI). Conf 85],Tony Lin (Chief Financial Officer) [Official: generali.com.my conf 90],Vincent Fong (Chief Risk Officer) [Official: generali.com.my conf 90],Nor Hakimah Abdul Latiff (Chief Compliance Officer) [Official: generali.com.my],Laurent Crouet (Chief Transformation Officer) [Official: generali.com.my conf 90],Vivian Ho (Chief Internal Auditor) [Official: generali.com.my]
,2,Insurers,Generali Life Insurance Malaysia Berhad,Aaron Ooi Yen Keat (Chief Information Security Officer) [LinkedIn: Indonesian CIO Network post welcoming Aaron Ooi as CISO at Generali Life Insurance Malaysia; also referenced in Festival of Digitalized Innovation 2026 coverage. Official leadership page (generali.com.my/about-generali/leadership) does not list CISO separately — role confirmed via LinkedIn conf 80],Vincent Fong (CRO) + Aw Teck Yee (Compliance) [Composite],Tony Lin (Chief Financial Officer) [Official: generali.com.my],Vincent Fong (Chief Risk Officer) [Official: generali.com.my],Aw Teck Yee (Head of Compliance & AML) [Official: generali.com.my],Not publicly disclosed on official leadership page,George Tan (Head of Internal Audit) [Official: generali.com.my]
,2,Insurers,Great Eastern General Insurance (Malaysia) Berhad,"Vincent Chin (Division Head, Information Technology — CISO-equivalent for GE Group) [Official: greateasternlife.com/my/en/about-us/company-profile/our-leaders/key-executive.html, conf 70 — group-level IT head]",Liza Hanim Zainal Abidin (Legal/Compliance) + Audra Chung Kit Li (Audit),"Cheng Chuen Chee (Chief Financial Officer, assumed role Jul 2024) [Official: greateasternlife.com, conf 95]","Teo Chun Seng (Division Head, Risk Management) [Group role - Official: greateasternlife.com]",Liza Hanim Zainal Abidin,Vincent Chin,Audra Chung Kit Li
,2,Insurers,Great Eastern Life Assurance (Malaysia) Berhad,"Vincent Chin — Division Head, Information Technology (CISO-equivalent: handles technology risk management & IT governance) [Official: greateasternlife.com/my/en/about-us/company-profile/our-leaders/key-executive.html] | conf 75 | No dedicated CISO role listed; IT division covers infosec function.","Liza Hanim Zainal Abidin (Division Head, Company Secretary and Legal) [Official: greateasternlife.com]","Loke Chang Yueh (CFO, joined 2013) [Official: greateasternlife.com]","Teo Chun Seng (Division Head of Risk Management, appointed 1 Jan 2023) [Official: greateasternlife.com]","Helen Quat Li Huang (Division Head of Compliance, appointed 1 Jan 2023) [Official: greateasternlife.com]","Vincent Chin (Head of IT, joined 2007) [Official: greateasternlife.com] + Gary Goh (MD for Group IT, appointed Jan 2025, group-level Singapore) [ET CIO SEA: ciosea.economictimes.indiatimes.com/news/corporate/great-eastern-life-appoints-gary-goh-as-its-md-for-group-it/117069702, conf 85 — former CTO at AIA Malaysia 6yrs, MetLife 14yrs]","Audra Chung Kit Li (Chief Internal Auditor, joined 2005) [Official: greateasternlife.com]"
,2,Insurers,Hong Leong Assurance Berhad,Low Tek Chee — Chief Technology Officer (CISO-equivalent) [Official: hla.com.my/en/know-us/leadership.html] | conf 75 | No dedicated CISO/Head of Information Security role among 13 executives. CTO is closest equivalent.,Lim Mei Gie (CRO) + Lee Noushi (Compliance) [Composite],"Ong Kheng Heng (Chief Financial Officer) [Official: hla.com.my/en/know-us/leadership.html, conf 95]","Lim Mei Gie (Chief Risk Officer) [Official: hla.com.my/en/know-us/leadership.html, conf 95]","Lee Noushi (Head of Legal and Chief Compliance Officer) [Official: hla.com.my/en/know-us/leadership.html, conf 95]","Low Tek Chee (Chief Technology Officer) [Official: hla.com.my/en/know-us/leadership.html, conf 95]",Chua Yew Lim (Chief Internal Auditor) [Group-level: Hong Leong]
,2,Insurers,Liberty General Insurance Berhad,"Ganesan Vaithilingam — Chief Information Officer (CISO-equivalent: responsibilities include ""information security"" and ""Secure IT environment development"") [Official: libertyinsurance.com.my/corporate/management-team] | conf 72 | No dedicated CISO role; CIO handles infosec.",Jonathan Chong (CRO) + Suffian bin Abdul Rahman (Compliance) [Group-level composite],Suppiah Poongavanam (Chief Financial Officer) [Wayback Machine: libertyinsurance.com.my],Jonathan Chong (Chief Risk Officer) [Wayback Machine: libertyinsurance.com.my],Suffian bin Abdul Rahman (Chief Compliance Officer) [Wayback Machine: libertyinsurance.com.my],Ganesan Vaithilingam (Chief Information Officer) [Wayback Machine: libertyinsurance.com.my],Tan Bee Chuan (Chief Internal Auditor) [Wayback Machine: libertyinsurance.com.my]
,2,Insurers,Lonpac Insurance Bhd,Lai Geng Farn (Chief Information Security Officer) [Official: lonpac.com],Lee Chiew Lai (CRO) + Mahinder Kaur a/p Kapal Singh (Compliance) [Composite],"Ng Seng Khin (Group Chief Financial Officer, designated 24 Jan 2025; CFO of Lonpac since 2019) [Official: lpicapital.com/about-us/management-team, conf 90]",Lee Chiew Lai (Chief Risk Officer) [Official: lonpac.com],Mahinder Kaur a/p Kapal Singh (Chief Compliance Officer) [Official: lonpac.com],Cynthia Ng Boon Howe (Chief Information Officer) [Official: lonpac.com],"Irene Hwang Siew Ling (Group Chief Internal Auditor, designated 24 Jan 2025; Chief Internal Auditor of Lonpac since 1998; MIA CA, CPA Malaysia) [Official: lpicapital.com/about-us/management-team, conf 90]"
,2,Insurers,MCIS Insurance Berhad,"Toh Fellowbcs (Head of Information Security - CISO, Cyber Risks Governance and Compliance) [RocketReach: rocketreach.co]","Toh Fellowbcs (Head of Information Security - CISO, role covers Cyber Risks Governance and Compliance) [RocketReach — GRC covered by CISO role]",Susan Conradie (Chief Financial Officer) [Official: mcis.my],"Nurliana binti Mat Lazim (Chief Risk Officer) [Malaysian Insurance Directory 2025/2026, conf 90]",Norlin Fatima Albakri (Chief Compliance Officer) [Official: mcis.my],Ng Chee Sang (Chief Technology Officer) [Official: mcis.my],Noor Hayati binti Abu Yaziz (Chief Internal Auditor) [Official: mcis.my]
,2,Insurers,MSIG Insurance (Malaysia) Bhd,"No dedicated CISO listed on MSIG Malaysia website or annual report 2025; cybersecurity managed within IT function (Chin Jee Gwan, EVP IT) or at MS&AD Group regional level",No dedicated Head of GRC; risk managed by Kelvin Hii Chee Yun (SVP ERM); Board Compliance & Risk Management Committee provides oversight per AR 2025,"Soh Lai Sim (COO, also Officer primarily responsible for financial management) [Official: MSIG Annual Report 2025]","Kelvin Hii Chee Yun (SVP, Enterprise Risk Management) [Official: MSIG Malaysia About page msig.com.my/about-msig — Firecrawl JSON extraction Jul 31 2026, 19 management members confirmed; conf 95]",No dedicated Head of Compliance listed on MSIG Malaysia website management team; compliance managed at MS&AD Group regional level,"Chin Jee Gwan (EVP IT, Digital, Bancassurance & Branding) [Official: MSIG Malaysia About page msig.com.my/about-msig — Firecrawl JSON extraction Jul 31 2026, 19 management members confirmed; conf 95]",No dedicated Head of Internal Audit listed on MSIG Malaysia website management team
,2,Insurers,Manulife Insurance Berhad,"Not publicly disclosed on Manulife leadership page or Annual Report 2024 [Official: manulife.com.my, conf 85]","Jasbender Kaur (Chief Counsel & Corporate Services Officer, MHB) [Official: Manulife Holdings Berhad AR 2024, Senior Key Management Profile (pp 14-18, 228), conf 85 - Chief Counsel & Corporate Services Officer oversees legal, governance & corporate services for Manulife Holdings Berhad]","Ng Chun Nam (Chief Financial Officer) [Official: Manulife Annual Report 2024, conf 85]","Mohd Naim Mohd Arsad (Chief Risk Officer) [Malaysian Insurance Directory 2025/2026, conf 90]","Senthil Woon Wai Keong (Chief Compliance Officer) [Official: Manulife Holdings Berhad AR 2023 (manulife.com.my AR 2023 Senior Management listing), conf 90 — confirmed in AR 2023 as ""Senthil Woon Wai Keong – Chief Compliance Officer"". CEO: Vibha Hamsi Coburn; Audit Cmte Chair: Vijayam Nadarajah [Official: manulife.com.my board page]]","Bernard Sia (Chief Information Officer) [Official: Manulife Annual Report 2024, conf 85]","Krishna Rajaa Ramalingam (Head of Internal Audit, Audit Services – Malaysia) [Official: Manulife Holdings Berhad AR 2023 (manulife.com.my/content/dam/insurance/my/documents/about-us/investor-relations/48th-agm-2024/Annual Report 2023.pdf), conf 90 — named in AR 2023 Senior Management listing]"
,2,Insurers,Prudential Assurance Malaysia Berhad,"Tan Chia Chee (Head, Information Security Officer) [Contactout aggregator: contactout.com/tan-chia-chee-99124, conf 45 - UNVERIFIED LEAD]. Listed as ""Head, Information Security Officer at Prudential Assurance Malaysia Berhad, May 2024 to Present"". Could NOT verify via Prudential official leadership page (only lists Board, not executives). Contactout page blocked by Cloudflare on re-verification. REQUIRES LinkedIn / official confirmation.",Kamarul Hisham (CRO) + Idariah Idris (Compliance) [Composite],Ankur Bassi (Chief Financial Officer) [LinkedIn + TheOfficialBoard],Kamarul Hisham (Chief Risk Officer) [RocketReach],Idariah Idris (Head of Compliance) [RocketReach],Chen Liaw (Chief Technology Officer) [RocketReach: rocketreach.co],"Rohini Maniam (Country Head of Audit Malaysia / Senior Director, Group Audits) [LinkedIn: my.linkedin.com/in/rohini-maniam-71852027, conf 40 - UNVERIFIED LEAD]. LinkedIn profile title shows ""Prudential plc"" (UK parent). Title may be group-level rather than entity-specific (Prudential Assurance Malaysia Berhad). Official Prudential Malaysia leadership page does not list executives below Board. REQUIRES official source confirmation."
,2,Insurers,QBE Insurance (Malaysia) Sdn Bhd,"Not publicly disclosed — QBE Malaysia website (qbe.com/my) does not have a leadership page; cybersecurity likely managed at QBE Asia regional level [Official: qbe.com/my, conf 85]","Jeyasakthi Ratnasingam (Head of Risk & Compliance for Asia, since Nov 2024, Intl Diploma in GRC) [Official: QBE Annual Report 2024, conf 90]","Vivien Wong (Head of Finance, joined May 2026, 25+ yrs finance leadership, CPA Australia & MIA) [Official: qbe.com/my/about-qbe/executive-team]","Mohd Farid Bin Othman (Head of Risk, joined Dec 2018, 20+ yrs internal audit/risk, MIA member) [Official: qbe.com/my/about-qbe/executive-team]","Jaysree Kaliappan (Head of Compliance, joined Jul 2025, 14+ yrs compliance/operational risk, ICA Intl Diploma in GRC) [Official: qbe.com/my/about-qbe/executive-team]","Not publicly disclosed — QBE Malaysia website (qbe.com/my) does not have a leadership page [Official: qbe.com/my, conf 85]","Not publicly disclosed — QBE Malaysia website (qbe.com/my) does not have a leadership page [Official: qbe.com/my, conf 85]"
,2,Insurers,Sun Life Malaysia Assurance Berhad,"Not publicly disclosed on Sun Life Malaysia management team page (image-based layout, no text titles for executives) [Official: sunlifemalaysia.com/about-us/leadership/management-team, conf 85]","Board Chairman: Dato' Noorazman Abd. Aziz (Ind. Director, appointed 13 May 2022) [Official: sunlifemalaysia.com, conf 95]; RMC Chair: Nigel Hazell (Ind. Director, Risk Mgmt Cmte Chairman) [Official: sunlifemalaysia.com, conf 95]","Ong Le Keat (Chief Financial Officer / Officer primarily responsible for financial management) [Official: Sun Life Malaysia Assurance Berhad 2025 Financial Statement PDF, Statutory Declaration dated 10 March 2026: sunlifemalaysia.com] [conf 100]","Nigel Hazell (Board Risk Management Committee Chairman, Ind. Director, appointed 13 May 2022) [Official: sunlifemalaysia.com/about-us/leadership/board-of-directors-assurance/, conf 95]","Not publicly disclosed on Sun Life Malaysia management team page [Official: sunlifemalaysia.com/about-us/leadership/management-team, conf 85]","Not publicly disclosed on Sun Life Malaysia management team page [Official: sunlifemalaysia.com/about-us/leadership/management-team, conf 85]","Wong Ah Kow (Board Audit Committee Chairman, Ind. Director, appointed 22 Sep 2022) [Official: sunlifemalaysia.com/about-us/leadership/board-of-directors-assurance/, conf 95]"
,2,Insurers,Sun Life Malaysia Takaful Berhad,"SHARES PARENT — No dedicated CISO for Sun Life Takaful; managed at Sun Life Malaysia group level [Official: sunlifemalaysia.com/about-us/leadership/management-team, conf 85]","SHARES PARENT — No dedicated Head of GRC for Sun Life Takaful; GRC functions shared with Sun Life Malaysia Assurance at group level [Official: sunlifemalaysia.com, conf 85]","Ong Le Keat (Chief Financial Officer / Officer primarily responsible for financial management) [Official: Sun Life Malaysia Takaful Berhad 2025 Financial Statement PDF, Statutory Declaration dated 11 March 2026: sunlifemalaysia.com] [conf 100]","Datin K. Komalavalli A/P K.R. Gopal (Board Risk Management Committee Chairperson, Ind. Director, appointed 2 Sep 2022) [Official: Sun Life Malaysia Takaful FS FYE Dec 2025 + Board of Directors page on sunlifemalaysia.com; confidence: HIGH; verified]","SHARES PARENT — No dedicated Head of Compliance for Sun Life Takaful; compliance shared at group level [Official: sunlifemalaysia.com, conf 85]","SHARES PARENT — No dedicated CIO for Sun Life Takaful; IT managed at Sun Life Malaysia group level [Official: sunlifemalaysia.com, conf 85]","Vivien Kusumowardhani (Board Audit Committee Chairperson, Ind. Director, appointed 19 Aug 2022) [Official: Sun Life Malaysia Takaful FS FYE Dec 2025 + Board of Directors page on sunlifemalaysia.com; confidence: HIGH; verified]"
,2,Insurers,Tokio Marine Life Insurance Malaysia Bhd,"Irfan Ismail (CISO & Head of Technology Risk) [RocketReach/LinkedIn: rocketreach.co/irfan-ismail-email_229003941, conf 55 — LinkedIn-cited via RocketReach; not on official management team page]","Andrew Ngou Chee Mun (CRO) + Loh Chee Hoong (Head of Compliance) [Composite - GRC function split between Risk and Compliance; no dedicated GRC head. Official leadership page (tokiomarine.com/my/en/life/about-us/our-board-of-directors-and-management-team.html) lists 9 SMT members, none with GRC title. CRO and Head of Compliance sourced from Malaysian Insurance Directory 2025/2026.]","Tham Kok Yoke (Chief Financial Officer) [Official: tokiomarine.com/my/en/life/about-us/our-board-of-directors-and-management-team.html, conf 95]","Andrew Ngou Chee Mun (Chief Risk Officer) [Malaysian Insurance Directory 2025/2026, conf 90]","Loh Chee Hoong (Head of Compliance) [Malaysian Insurance Directory 2025/2026, conf 90]","Nicholas Tan Chin Yau (Chief Information Officer) [Malaysian Insurance Directory 2025/2026, conf 90]","Wong Kah Keong (Head of Internal Audit) [Malaysian Insurance Directory 2025/2026, conf 90]"
,2,Insurers,Zurich Life Insurance Malaysia Berhad,"Terrence Chock (Head of Information Security / BISO - Singapore & Indonesia, Zurich Insurance Company Ltd) [CSO30 ASEAN 2025 Business Value Award winner; LinkedIn: hk.linkedin.com/in/terrencechock; Based in Hong Kong, covers Singapore & Indonesia; Malaysia-specific CISO not separately listed. Regional infosec function likely covers Malaysia via group structure. conf 65] [CSO30 ASEAN 2025: cybersecurityinfocus.com/?p=5791]","Not publicly disclosed on leadership page [Official: zurich.com.my/about-zurich/the-zurich-story/our-leaders — as of Jul 2026, conf 30]. Confirmed Jul 2026: Official Our Leaders page (zurich.com.my/about-zurich/the-zurich-story/our-leaders) lists Country CEO Junior Cho, Life CEO Pauline Teoh, Takaful CEO Nur Fatihah Mustafa, board directors + Shariah committee only; no CISO/CRO/Compliance/CIO/GRC at management level. conf 95 Confirmed Aug 2026 via official Zurich Malaysia leaders page - only CEOs and Board members listed.]","Timothy William Howell (Executive Director / Head of Finance & CFO Asia Pacific) [Official: Zurich Life Insurance Malaysia Berhad AR 2024 PDF — Corporate Governance Statement p.6, conf 95. Appointed Executive Director 1 Nov 2021. Also serves as Board Member for Zurich General Insurance Malaysia Berhad, Zurich Services (HK), Cover-More Group, Zurich Travel Solutions, Zurich Life Insurance Japan.]","Not publicly disclosed on leadership page [Official: zurich.com.my/about-zurich/the-zurich-story/our-leaders — as of Jul 2026, conf 30]. Confirmed Jul 2026: Official Our Leaders page (zurich.com.my/about-zurich/the-zurich-story/our-leaders) lists Country CEO Junior Cho, Life CEO Pauline Teoh, Takaful CEO Nur Fatihah Mustafa, board directors + Shariah committee only; no CISO/CRO/Compliance/CIO/GRC at management level. conf 95 Confirmed Aug 2026 via official Zurich Malaysia leaders page - only CEOs and Board members listed.]","Not publicly disclosed on leadership page [Official: zurich.com.my/about-zurich/the-zurich-story/our-leaders — as of Jul 2026, conf 30]. Confirmed Jul 2026: Official Our Leaders page (zurich.com.my/about-zurich/the-zurich-story/our-leaders) lists Country CEO Junior Cho, Life CEO Pauline Teoh, Takaful CEO Nur Fatihah Mustafa, board directors + Shariah committee only; no CISO/CRO/Compliance/CIO/GRC at management level. conf 95 Confirmed Aug 2026 via official Zurich Malaysia leaders page - only CEOs and Board members listed.]","Not publicly disclosed on leadership page [Official: zurich.com.my/about-zurich/the-zurich-story/our-leaders — as of Jul 2026, conf 30]. Confirmed Jul 2026: Official Our Leaders page (zurich.com.my/about-zurich/the-zurich-story/our-leaders) lists Country CEO Junior Cho, Life CEO Pauline Teoh, Takaful CEO Nur Fatihah Mustafa, board directors + Shariah committee only; no CISO/CRO/Compliance/CIO/GRC at management level. conf 95 Confirmed Aug 2026 via official Zurich Malaysia leaders page - only CEOs and Board members listed.]","Onn Kien Hoe (Chairman of Audit Committee) [Official: Zurich Life Insurance Malaysia Berhad AR 2024 PDF — Corporate Governance Statement p.4,7, conf 95 — board-level oversight, not executive CAE. Chaired all 6/6 Audit Committee meetings in FY2024. INED, Crowe Malaysia partner. No named executive Head of Internal Audit in AR 2024.]"
,2,Investment Banks,Affin Investment Bank Berhad,Teng Wei Lim (Thomas) (Group CISO/GCISO) [LinkedIn: my.linkedin.com/in/thomaslim],Cheong Dang (Group CRO) + Adzamimah Adzmi (Group CCO) [Group-level: Affin Bank],"Joanne Rodrigues (Group CFO, 6.1yrs tenure) [SimplyWall.st]","Cheong Dang (Group Chief Risk Officer, 4.3yrs) [SimplyWall.st]","Adzamimah Adzmi (Group Chief Compliance Officer, 8yrs) [SimplyWall.st]",CEO: Wan Razly Bin Wan Ali (President and Group CEO); COO: Risham Kamaruzaman [SimplyWall.st],"Wahdania Binti Mohd Khir (Group Chief Internal Auditor, 6.2yrs) [SimplyWall.st]"
,2,Investment Banks,Alliance Investment Bank Berhad,William Song (Group CISO) [Group-level: Alliance Bank],Jacob Abraham (Group CRO + Compliance oversight) [Group-level: Alliance Bank],Ronnie Royston Fernandiz (Group CFO) [Official: alliancebank.com.my],Jacob Abraham (Group Chief Risk Officer) [Official: alliancebank.com.my],"Jacob Abraham (Group CRO, also responsible for Group Compliance) [Official: alliancebank.com.my]",Nantha Kumar Subramanian (Group Chief Digital & Information Officer) [Official: alliancebank.com.my],Andrew Ng Yin Min (Group Chief Internal Auditor) [Official: alliancebank.com.my]
,2,Investment Banks,AmInvestment Bank Berhad,Malini Kanesamoorthy (CISO) [Group-level: AmBank],Shamsul Bahrom Bin Mohamed Ibrahim (CRO) + Faradina Binti Mohammad Ghouse (Compliance) [Group-level composite],"Phuah Shok Cheng (Group CFO, AmBank Group) [Official: ambankgroup.com]",Shamsul Bahrom Bin Mohamed Ibrahim (Group CRO) [Official: ambankgroup.com],Faradina Binti Mohammad Ghouse (Group CCO) [Official: ambankgroup.com],Wong Eng Teng (Group Chief Fintech & Technology Officer) [Official: ambankgroup.com],Ng Ek Leong (Group Chief Internal Auditor) [Official: ambankgroup.com]
,2,Investment Banks,BIMB Investment Bank Berhad,"Anthony Tai (Group CISO, Bank Islam) [Official: bankislam.com]","Nik Azmir Nik Anis (Group CCO + GRC Officer, Bank Islam) [Official: bankislam.com]","Siti Nur Huda Sufian (Group CFO, Bank Islam) [Official: bankislam.com]",Alina Sylvia Appoo (Group CRO) [Group-level: Bank Islam],"Nik Azmir Nik Anis (Group CCO, Bank Islam) [Official: bankislam.com]",Zulkanain Kassim (CITO) [Group-level: Bank Islam],"Zalfitri Abd Mutalip (Group Chief Internal Auditor, Bank Islam) [Official: bankislam.com]"
